country,year,ai_adoption_consumer,ai_adoption_enterprise,tech_workforce_pct,cloud_infrastructure,ai_policy_score,ai_startups_count,ai_investment_billion_usd,ai_talent_rank,gpu_availability_index,ai_readiness_score,ai_index_score,ai_growth_rate,ai_global_rank
Brazil,2023,75.34,80.35,15.35,81.15,72.22,7531,107.18,98,87.38,78.44,81.17,-0.028020596,13
Brazil,2024,93.99,100,16.05,74.64,79.49,6256,198.34,36,75.39,80.43,90.1,0.110016016,6
Brazil,2025,86.12,96,15.12,81,82.67,7595,81.6,40,84.37,83.44,88.28,-0.020199778,10
Brazil,2026,90.47,96.61,17.1,81.72,74.62,3497,155.56,84,88.36,81.91,89.22,0.010647938,8
Mexico,2015,60.63,69.5,7.58,69.06,73.08,4224,160.97,75,78.69,76.95,71.16,0,14
Mexico,2016,60.83,67.97,9.28,68.63,65.11,3292,147.8,40,79.26,73.15,69.32,-0.025857223,15
Mexico,2017,65.15,75.41,19.65,66.11,64.24,3288,107.98,49,71.44,71.32,71.68,0.034045009,14
Mexico,2018,63.56,70.44,3.39,67.97,74.62,3322,172.99,75,65.32,72.86,72.12,0.006138393,14
Mexico,2019,67.63,74.82,3.91,67.81,73.09,3656,171.98,70,71.22,79.17,74.34,0.03078203,14
Mexico,2020,66.22,74.01,3.83,73.49,70.18,3039,95.19,52,75.95,76.73,74.14,-0.002690342,14
Mexico,2021,73.98,83.98,2.25,66.01,73.26,4049,62.26,55,75.19,76.44,76.27,0.028729431,14
Mexico,2022,77.99,89.52,15.28,70.54,69.35,5198,40.33,65,78.53,78.57,80.45,0.054805297,14
Mexico,2023,76.04,85.98,3.15,69.37,69.84,6474,73.98,60,79,77.93,77.83,-0.032566812,15
Mexico,2024,77.38,83.5,17.87,66.7,62.88,6429,132.98,30,70.45,77.07,75.92,-0.024540666,14
Mexico,2025,84.54,96.21,17.77,68.36,67.68,3436,89.05,103,77.98,75.88,83.5,0.099841939,14
Mexico,2026,79.06,85.32,2.04,72.04,61.86,6028,140.08,3,68.72,74.07,78.97,-0.054251497,14
Turkey,2015,52.97,58.38,13.09,61.02,55.4,4636,80.22,84,63.29,70.63,60.14,0,17
Turkey,2016,54.23,60.05,9.05,60.48,62.49,5872,52.67,95,65.52,65.63,62.45,0.038410376,16
Turkey,2017,59.69,70.44,10.12,65.54,57.11,3274,137.43,47,60.16,71.17,67.84,0.086309047,16
Turkey,2018,54.56,60.03,9.8,63.59,57.74,6242,98.88,45,64.07,73.91,63.5,-0.063974057,16
Turkey,2019,57.77,62.81,15.8,65.15,60.33,4734,127.92,17,68.24,68.58,65.09,0.02503937,16
Turkey,2020,59.5,69.81,13.38,63.08,65.44,3176,87.79,38,63.48,71.93,68.56,0.0533108,16
Turkey,2021,65.71,75.33,18.9,65.07,62.49,4926,68.33,27,67.04,68.06,70.67,0.030775963,16
Turkey,2022,68.44,78.33,2.61,60.79,52.57,5812,57.76,39,61.99,61.25,68.51,-0.030564596,16
Turkey,2023,72.69,81.73,15.47,57.78,67.09,5547,137.83,49,62.51,65.43,71.4,0.042183623,16
Turkey,2024,66.13,71.23,17.07,64.75,63.54,4865,99.45,70,63.74,67.13,68.56,-0.03977591,16
Turkey,2025,65.15,76.65,19.66,60.53,55.28,4974,130.84,55,62.7,72.64,70.16,0.023337223,17
Turkey,2026,65.88,75.42,5.23,59.86,61.65,5177,85.35,3,67.6,73.98,69.32,-0.011972634,18
Indonesia,2015,72.18,78.26,12.67,76.78,79.88,4943,41.61,73,80.94,77.62,78.75,0,8
Indonesia,2016,68.77,75.78,13.21,79.08,66.51,7803,109.82,8,83.84,80.11,77.5,-0.015873016,11
Indonesia,2017,67.96,74.56,4.65,75.75,67.57,7802,158.42,95,74.54,76.5,74.8,-0.03483871,13
Indonesia,2018,67.93,74.41,4.79,79.15,71.2,3685,113.04,17,73.22,80.11,75,0.002673797,13
Indonesia,2019,71.65,78.79,15.05,79.28,72.34,5958,143.21,65,84.4,78.41,78.18,0.0424,12
Indonesia,2020,72.37,80.75,7.91,79.44,78.95,5402,158.94,21,78.4,84.78,79.99,0.023151701,12
Indonesia,2021,75.85,81.84,5.29,76.76,70.24,7120,80.21,18,76.57,75.29,79.6,-0.004875609,13
Indonesia,2022,79.84,89.55,6.74,73.26,79.17,3305,176.81,19,72.46,78.81,82.12,0.031658291,12
Indonesia,2023,83.64,91.92,9.74,75.72,68.37,6062,198.1,21,76.16,78.89,84.58,0.029956162,9
Indonesia,2024,85.13,90.49,4.89,71.41,72.63,3418,107.18,14,73.66,80.58,84.06,-0.006148026,12
Indonesia,2025,86.85,97.26,8.97,73.43,74.54,3608,36.19,28,85.48,80.88,85.9,0.021889127,12
Indonesia,2026,89.53,96.75,6.99,79.54,79.33,4604,192.12,75,76.16,82.27,89.21,0.038533178,9
South Africa,2015,57.92,64.22,4.93,67.58,59.78,5395,51.57,30,75.12,79.42,68.68,0,15
South Africa,2016,64.22,75.41,6.89,72.81,63.56,3728,56.59,15,68.18,70.51,72.97,0.062463599,14
South Africa,2017,65.73,71.55,13.86,69.32,64.02,6780,150.23,48,76.25,67.08,71.18,-0.024530629,15
South Africa,2018,67.15,79.01,2.58,66,67.78,5656,107.75,36,78.61,67.22,71.89,0.009974712,15
South Africa,2019,66.95,72.32,6.55,70.78,62.25,5322,82.28,42,68.78,64.59,70.71,-0.016413966,15
South Africa,2020,58.83,65.38,10.26,67.67,71.21,4192,166.64,64,69.97,73.13,70.17,-0.007636826,15
South Africa,2021,71.66,77.14,13.91,68.03,68.05,3259,81.61,97,67.69,76.15,74.74,0.065127547,15
South Africa,2022,67.87,73.36,2.75,67.81,61.21,4669,54.18,60,67.16,79.77,72.06,-0.03585764,15
South Africa,2023,79.45,87.28,15.17,71.38,69.02,6339,50.97,52,67.62,75.72,80.19,0.112822648,14
South Africa,2024,74.68,81.95,19.38,64.25,58.95,4570,136.6,113,67.84,69.71,75.03,-0.064347175,15
South Africa,2025,71.38,77.23,7.53,73.24,68.2,5194,90.81,91,69.75,79.86,75.51,0.006397441,15
South Africa,2026,73.44,80.08,6.17,64.09,73.48,6520,165.75,69,72.6,73.11,75.3,-0.002781089,15
Pakistan,2015,49.74,61.56,18.28,61.19,61.39,3868,95.13,96,68.01,64.97,60.93,0,16
Pakistan,2016,50.67,56.26,9.96,57.86,51.52,3725,75.43,96,57.99,64.49,60.49,-0.007221402,17
Pakistan,2017,52.1,57.34,6.68,59.67,53.65,5685,139.01,29,65.84,65.56,59.08,-0.023309638,18
Pakistan,2018,54.14,63.84,19.79,58.45,65.64,6008,126.08,35,61.92,65.56,62.22,0.053148274,17
Pakistan,2019,57.15,68.69,2.29,62.64,59.09,5444,30.47,26,68.73,65.62,64.79,0.041305047,17
Pakistan,2020,58.48,67.64,6.97,61.78,59.38,5267,54.08,89,57.71,66.38,65.98,0.018367032,17
Pakistan,2021,60.16,67.49,2.5,60.4,51.97,4780,79.47,79,69.1,69.32,65.16,-0.012428008,17
Pakistan,2022,63.67,72.88,14.86,59.16,56.85,3579,92.04,81,60.18,59.71,66.53,0.021025169,17
Pakistan,2023,59.74,68.89,12.02,55.91,55.6,3754,42.45,78,66.68,68.72,65.28,-0.018788516,18
Pakistan,2024,59.83,68.61,3.53,64.26,59.23,4487,73.58,12,58.4,57.63,65.33,0.000765931,19
Pakistan,2025,67.59,76.67,14.11,63.87,55.33,4960,65.37,69,67.05,73.38,70.84,0.084341038,16
Pakistan,2026,72.88,78.06,5.53,58.59,60,2983,147.61,65,57.33,64.48,69.93,-0.01284585,17
Bangladesh,2015,46.84,55.32,18.16,57.78,50.5,4895,89.84,56,59.23,59.06,54.73,0,19
Bangladesh,2016,50.71,58.49,6.52,58.45,52.07,2681,90,41,60.76,60.08,58.95,0.077105792,18
Bangladesh,2017,45.87,57.05,13.67,55.04,55.78,2491,116.29,19,59.61,54.16,55.46,-0.059202714,20
Bangladesh,2018,48.48,58.62,17.69,52.98,54.17,4147,62.58,68,55.33,56.81,55.69,0.004147133,20
Bangladesh,2019,48.02,59.6,10.58,58.44,58.31,4318,118,15,53.54,61.62,57.6,0.034297001,20
Bangladesh,2020,46.12,57.68,2.4,57.61,58.03,5450,32.82,53,51.71,62.78,57.83,0.003993056,20
Bangladesh,2021,58.94,64.28,16.4,59.09,54.71,4076,117.69,50,59.96,57.08,62.68,0.083866505,19
Bangladesh,2022,60.04,69.27,3.44,58.52,49.29,3713,41.68,7,58.14,53.26,61.97,-0.011327377,19
Bangladesh,2023,61.61,67.11,19.28,56.63,59.06,2450,34.19,77,63.52,56.55,62.59,0.010004841,19
Bangladesh,2024,55.77,64.4,19.08,53.35,60.73,2752,66.78,80,58.23,56.89,59.99,-0.041540182,20
Bangladesh,2025,55.22,66.91,6.26,56.88,50.62,2605,43.48,57,55.1,54.34,60.49,0.008334722,20
Bangladesh,2026,69.9,77.69,8.02,54.98,48.6,4641,71.13,104,52.99,58.25,67.12,0.109604893,19
Nigeria,2015,45.98,55.71,17.83,54.93,48.35,5217,136.94,58,59.88,57.72,54.1,0,20
Nigeria,2016,44.5,50.97,12.15,58.39,51.29,3139,102.86,73,54.89,68.1,54.5,0.007393715,20
Nigeria,2017,50.01,58.48,18.95,53.83,46.33,2859,77.19,49,53.92,51.42,55.94,0.026422018,19
Nigeria,2018,53.22,63.89,5.25,55.27,59.67,3163,45.82,70,52.2,64.28,61.44,0.098319628,18
Nigeria,2019,51.19,58.99,16.38,59.09,55.71,5300,25.3,68,64.95,55.08,57.84,-0.05859375,19
Nigeria,2020,55.65,62.26,17.46,59.95,49.28,3907,100.55,38,65.62,58.09,58.92,0.018672199,19
Nigeria,2021,58.98,68.82,15.13,60.63,47.93,4149,46.76,77,57.05,66.14,63.72,0.081466395,18
Nigeria,2022,55.21,65.47,8.78,59.94,48.71,3390,30.16,38,55.51,59.95,61.4,-0.036409291,20
Nigeria,2023,65.1,76.72,11.19,57.8,53.48,2684,58.85,114,62.25,61.46,67.04,0.091856678,17
Nigeria,2024,66.89,76.82,5.04,58.39,49.76,2471,105.44,21,53.81,59.33,66.07,-0.014468974,17
Nigeria,2025,68.23,79.03,14.55,58.07,58.55,3466,124.04,106,61.16,62.11,69.02,0.044649614,18
Nigeria,2026,59.98,65.95,8.43,51.08,60.61,3405,82.81,61,54.72,62.39,62.19,-0.098956824,20
Vietnam,2015,44.69,51.06,6.62,61.47,54.55,4954,86.01,52,54.08,62.02,57.51,0,18
Vietnam,2016,50.93,56.41,11.22,60.5,54.72,3591,69.36,5,54.07,57.68,58.7,0.020692054,19
Vietnam,2017,49.48,57.59,2.18,60.02,61.18,5041,79.72,90,68.14,64.81,59.24,0.009199319,17
Vietnam,2018,54.31,62.13,2.01,55.61,53.32,3453,53.23,67,58.92,55.89,59.6,0.006076975,19
Vietnam,2019,57.52,69.2,4.96,53.87,52.73,5058,38.91,109,61.43,54.14,61.37,0.029697987,18
Vietnam,2020,59.6,70.58,18.37,53.4,59.8,5182,131.3,45,55.66,61.42,63.38,0.032752159,18
Vietnam,2021,51.83,62.01,8.79,59.72,56.47,3810,28.94,42,59.15,66.31,61.25,-0.033606816,20
Vietnam,2022,57.28,64.96,4.63,61.02,57.68,5582,134.85,9,62.8,67.08,64.5,0.053061224,18
Vietnam,2023,58.8,64.73,12.82,55.23,52.76,4764,67.87,96,66.52,65.18,61.51,-0.046356589,20
Vietnam,2024,66.19,72.88,3.62,57.13,50.47,5490,24.86,111,56.35,63.45,65.9,0.071370509,18
Vietnam,2025,68.46,74.82,15.68,54.93,53.18,3557,139,6,56.67,63.96,67.92,0.030652504,19
Vietnam,2026,72.65,80.76,15.72,58.15,61.91,5155,65.38,95,64.39,63.27,72.24,0.06360424,16
